"ident","source","context","max_length","it","uk"
"ident1","source1","context","20","","переклад1"
"ident2","source2","context","20","","сорс2"
"ident3","source3","context","20","","сорс3"
"ident4","source4","context","20","","сорс4"
"ident5","source5","context","20","","сорс5"
"ident6","source6","context","20","","сорс6"
"ident7","source7","context","20","","сорс7"
"ident8","source8","context","20","","сорс8"
"ident9","source9","context","20","","сорс9"
"ident10","source10","context","20","","сорс10"
"ident11","source11","context","20","","сорс11"
"ident12","source12","context","20","","переклад12"
"ident13","source13","context","20","","сорс13"
"ident14","source14","context","20","","сорс14"
"ident15","source15","context","20","","сорс15"
"ident16","source16","context","20","","переклад16"
"ident17","source17","context","20","","сорс17"
"ident18","source18","context","20","","сорс18"
"ident19","source19","context","20","","сорс19"
"ident20","source20","context","10","","сорс20"
